행정구역+A1:R29,2014년_1인세대,2015년_1인세대,2016년_1인세대,2017년_1인세대,2018년_1인세대,2019년_1인세대,2020년_1인세대,2021년_1인세대,2022년_1인세대,2023년_1인세대,2014년_전체세대,2015년_전체세대,2016년_전체세대,2017년_전체세대,2018년_전체세대,2019년_전체세대,2020년_전체세대,2021년_전체세대,2022년_전체세대,2023년_전체세대,행정구역1,행정구역코드,행정시,행정구,1인가구비율
서울특별시 종로구 (1111000000),"34,445","34,532","34,698","35,539","36,012","36,716","38,354","37,857","37,680","37,728","73,101","72,645","72,118","73,594","73,735","73,947","75,003","73,494","72,524","72,067",서울특별시 종로구 ,1111000000,서울특별시,종로구 ,0.376
서울특별시 중구 (1114000000),"27,943","27,815","28,368","28,845","29,832","31,069","32,280","32,752","32,954","34,519","59,960","59,321","59,651","60,412","61,502","62,739","63,686","63,519","63,139","64,714",서울특별시 중구 ,1114000000,서울특별시,중구 ,0.344
서울특별시 용산구 (1117000000),"48,619","48,316","48,131","49,518","50,818","52,143","54,748","54,174","54,005","53,331","108,429","107,512","106,607","107,666","108,974","110,126","113,093","111,036","109,805","107,825",서울특별시 용산구 ,1117000000,서울특별시,용산구 ,0.532
서울특별시 성동구 (1120000000),"47,627","48,089","49,318","51,798","54,940","55,527","57,370","57,653","58,154","58,976","125,814","126,714","128,727","132,902","137,209","135,838","135,870","134,233","133,305","133,089",서울특별시 성동구 ,1120000000,서울특별시,성동구 ,0.588
서울특별시 광진구 (1121500000),"64,665","65,138","65,896","68,171","70,605","74,064","78,614","81,256","83,646","85,080","158,524","158,353","158,390","160,798","162,606","164,428","167,427","167,949","169,291","170,077",서울특별시 광진구 ,1121500000,서울특별시,광진구 ,0.849
서울특별시 동대문구 (1123000000),"66,419","67,641","68,367","70,090","72,616","75,705","80,336","82,531","84,547","86,129","159,880","159,941","159,426","159,938","161,820","164,191","167,598","168,219","169,873","172,801",서울특별시 동대문구 ,1123000000,서울특별시,동대문구 ,0.859
서울특별시 중랑구 (1126000000),"64,831","65,501","67,162","69,385","72,086","74,943","79,802","81,201","83,492","85,012","176,714","176,390","177,400","179,132","180,511","181,579","185,920","185,712","187,413","188,097",서울특별시 중랑구 ,1126000000,서울특별시,중랑구 ,0.848
서울특별시 성북구 (1129000000),"70,169","69,679","69,093","69,365","71,004","74,767","78,864","79,845","82,026","83,019","193,359","190,973","188,304","187,112","186,601","192,592","195,396","195,017","197,082","196,800",서울특별시 성북구 ,1129000000,서울특별시,성북구 ,0.828
서울특별시 강북구 (1130500000),"50,620","51,428","52,653","54,745","57,388","59,715","62,910","63,836","65,435","66,366","141,246","141,088","141,229","142,533","143,395","144,277","145,896","144,536","144,313","143,560",서울특별시 강북구 ,1130500000,서울특별시,강북구 ,0.662
서울특별시 도봉구 (1132000000),"39,638","39,677","40,157","41,294","43,182","45,013","47,242","48,682","49,922","51,212","136,977","136,903","136,898","137,378","138,087","138,508","139,114","138,656","138,356","138,261",서울특별시 도봉구 ,1132000000,서울특별시,도봉구 ,0.511
